urun_grubu,urun,baslik,problem_tarifi,cozum,etiketler,link
Koruma & Kontrol Ürün Grubu,DTR-10 DTR-10T DTR-20 DTR-20M DTR-20S DTR-25 DTR-20TS MCB-50 MCB-50T,DTR Serisi Astronomik Zaman Rölesinde Yapılan Programlar Sıfırlanıyor ise Ne Yapılmalıdır?,DTR Serisi Astronomik Zaman Rölesinde Yapılan Programlar Sıfırlanıyor ise Ne Yapılmalıdır?,"DTR Serisi Astronomik Zaman Rölesinde menülerde yapılan değişiklikler, izleme menüsüne dönerken sorulan "" Kaydet "" sorusu onaylanmazsa iptal olur.
Yapılan program sonunda onay verip programı kaydetmeniz demek işlemin bittiği anlamına gelmemektedir.
Ana ekranda (saat ve tarih kısmının göründüğü ) izleme menüsüne dönmeniz gerekmektedir.
Program kısmından izleme menüsüne  ekranına geçiş sırasında "" Yapılan işlemleri kaydetmek istiyor musunuz? "" diye bir soru daha gelmektedir.
Bu işlemi yapılan değişikliklerin kaydetmek istiyorsanız "" Kaydet "" basmanız gerekir, aksi takdirde yaptığınız işlemler kaydolmaz.
Sonrasında işlemlerinizi tekrarlamanız gerekmektedir. Bu durum "" zaman ayarı "" menüsü için geçerli değildir.
Zaman ayarında yapılan değişiklikler hemen işleme alınır. Program modunda tuşlara 30 sn boyunca basılmazsa izleme menüsüne dönülür. Yapılan değişiklikler varsa kaydolmaz iptal edilir.",dtr-10;mcb-50t;dtr-20;dtr-25;dtr;dtr-20m;dtr-20s;dtr-20ts;program;dtr-10t;mcb-50,https://destek.entes.com.tr/spaces/SP/pages/983263/DTR+Serisi+Astronomik+Zaman+R%C3%B6lesinde+Yap%C4%B1lan+Programlar+S%C4%B1f%C4%B1rlan%C4%B1yor+ise+Ne+Yap%C4%B1lmal%C4%B1d%C4%B1r
Enerji Verimliliği Ürün Grubu,MPR-47S / MPR-47SE,Sag & Swell Özelliği Nedir ve Hangi ENTES Donanımlarında bulunur?,Sag & Swell Özelliği Nedir ve Hangi ENTES Donanımlarında bulunur?,"Ani gerilim düşümü (Sag) ve ani gerilim yükselmesidir (Swell).
Her iki olayda mikrosaniyeler ile milisaniyeler arasında meydana gelmektedir.
Özellik olarak MPR-47S ve MPR-47SE model ENTES Analizörlerde mevcuttur ve Sag & Swell olayları gerçekleştiği anda, analizörler bu durumu Olay Kaydı olarak hafızaya kayıt ederler.",sag;swell,https://destek.entes.com.tr/spaces/SP/pages/983286/Sag+Swell+%C3%96zelli%C4%9Fi+Nedir+ve+Hangi+ENTES+Donan%C4%B1mlar%C4%B1nda+bulunur
Enerji Yönetimi Ürün Grubu,"Enerji Doktoru, Enermedic",Enerji Doktoru ve Enermedic' te Çözüm Ortağı Tanımlaması Neden Yapılır?,Enerji Doktoru ve Enermedic menülerindeki çözüm ortağı tanımını nasıl kullanılabilir ?,"Çözüm Ortağı seçeneği sadece Enerji Doktoru ve Enermedic platformlarında kullanılabilir bir özelliktir.
ENTES ile anlaşmalı çözüm ortağı firmalar arasında sizinle çalışan veya çalışacağınız biri olması durumunda bu seçimi yaparak verilerinizi onlarla paylaşmış olursunuz.
Bu sayede takip ve teknik destek süreci hız kazanmış olur.",enerjidoktoru;enermedic;çözümortağı,https://destek.entes.com.tr/spaces/SP/pages/983323/Enerji+Doktoru+ve+Enermedic+te+%C3%87%C3%B6z%C3%BCm+Orta%C4%9F%C4%B1+Tan%C4%B1mlamas%C4%B1+Neden+Yap%C4%B1l%C4%B1r
Kompanzasyon Ürün Grubu,RGP / RGSR / RGA / RG3-12 / RG3-15,Reaktif Güç Kontrol Rölelerinde Gerilim Arası Açı Farkının 120 Derece Olmamasının Nedeni Ne Olabilir?,"Gerilim arası açı farkı 120 derece değil ise, sebep ne olabilir?","Reaktif rölelerde sık sık karşımıza çıkan ve çözümünün aslında basit olduğu bir durumdur.
Rölelerde bu hata, gerilimin sabit gelmemesinden, Nötr hattının ek halinde uzatılıp temassız olmasından veya bağlı olan klemenslerin aslında temas etmemesinden dolayı meydana gelebilen bir hatadır.
Bu durumla karşılaşıldığında, ilk kontrol edilmesi gereken Nötr hattıdır.",120;açı;rg;fark;nötr,https://destek.entes.com.tr/spaces/SP/pages/983315/Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6lelerinde+Gerilim+Aras%C4%B1+A%C3%A7%C4%B1+Fark%C4%B1n%C4%B1n+120+Derece+Olmamas%C4%B1n%C4%B1n+Nedeni+Ne+Olabilir
Enerji Yönetimi Ürün Grubu,"Enerji Doktoru, Enerthings, Enermedic","Enerji Doktoru, Enerthings ve Enermedic Mobil Uygulaması Mevcut mudur?","Enerji Doktoru, Enerthings ve Enermedic yazılımlarını mobil platformalar da takip edebilir mi?","Enerji Doktoru, Enerthings ve Enermedic yazılımları için şuan da sadece Android uygulama desteği bulunmaktadır. Uygulama Play Store üzerinden indirilip, kullanılabilir.
İlerleyen süreçte İOS desteği de olacaktır.",app;mobil;android;ios;enerthings;enermedic;enerjidoktoru,https://destek.entes.com.tr/spaces/SP/pages/983489/Enerji+Doktoru+Enerthings+ve+Enermedic+Mobil+Uygulamas%C4%B1+Mevcut+mudur
Enerji Yönetimi Ürün Grubu,Entbus Plus,Entbus Plus ile İzlenen Analizörün Ölçtüğü Max. / Min. Değerleri Periyodik Raporlar Kısmında Nasıl Görülür?,Entbus Plus ile İzlenen Analizörün Ölçtüğü Max. / Min. Değerleri Periyodik Raporlar Kısmında Nasıl Görülür?,"Yazılımda kullanılan cihaz modeli dosyasında, max. ve min. değerler cihaz örüntüsünde etkin değildir.
musterihizmetleri@entes.com.tr e-posta adresinden bizimle iletişime geçerek konu ile alakalı destek talebinde bulunabilirsiniz.",entbusplus;entbus,https://destek.entes.com.tr/spaces/SP/pages/983595/Entbus+Plus+ile+%C4%B0zlenen+Analiz%C3%B6r%C3%BCn+%C3%96l%C3%A7t%C3%BC%C4%9F%C3%BC+Max.+Min.+De%C4%9Ferleri+Periyodik+Raporlar+K%C4%B1sm%C4%B1nda+Nas%C4%B1l+G%C3%B6r%C3%BCl%C3%BCr
Enerji Verimliliği Ürün Grubu,DCA,DCA Serisi DC Ampermetrelerde Modbus Poll Üzerinden DC akım Değer Nasıl Okunur?,DCA Serisi DC Ampermetrelerde Modbus Poll Üzerinden DC akım Değer Nasıl Okunur?,"İlk olarak cihaz menüsünden RS-485 ayarları altındaki adres, bit hızı ve parity gibi değerlerin kontrol edilmesi gerekir.
Daha sonra Modbus Poll üzerinden belirlenen cihaz adresi ile register tablosundaki okumayı yapacağımız AddresHEX 0x4000 (DEC 16384) değeri 6 satır olarak girildikten sonra istenilen değerler Modbus Poll üzerinden görülebilir.",dc;dca;dca-10s;modbus,https://destek.entes.com.tr/spaces/SP/pages/983580/DCA+Serisi+DC+Ampermetrelerde+Modbus+Poll+%C3%9Czerinden+DC+ak%C4%B1m+De%C4%9Fer+Nas%C4%B1l+Okunur
Kompanzasyon Ürün Grubu,"RG3-12E, RG3-12C, RG3-12CS, RG3-15CLS, RG3-15CS, RG3-15CL",RG3 Serisi Reaktif Güç Kontrol Rölelerinde Düzensiz Kademe Devreye Alınması / Bırakılması Durumunda Kontrol Edilmesi Gereken Noktalar Nelerdir?,RG3 Serisi Reaktif Güç Kontrol Rölelerinde Düzensiz Kademe Devreye Alınması / Bırakılması Durumunda Kontrol Edilmesi Gereken Noktalar Nelerdir?,"Bu problemler genellikle sistemde gerilim harmonikleri olduğunda ortaya çıkmaktadır.
RG3 Serisi Reaktif Güç Kontro Rölelerinde, fabrika çıkışlı olarak harmonik koruması yapmaktadır.
Cihazda SET tuşuna 3 saniye basılı tutulup menüye girilir ve ardından ALR alt menüsü bulunur ve tekrar SET tuşu ile menü içine girilir.
Bu menüde THD ikonu görülür ve SET tuşuna basılır ve yukarı veya aşağı yön tuşları ile STEP menüsüne gidilir ve SET tuşuna basılır.
Burada fabrika çıkış ayarı olarak OFF görülür, bu seçenek ON olarak değiştirilir ve SET tuşuna basılır.
Daha sonra ESC tuşları ile menülerden sırayla çıkılır ve SAVE SET YES menüsü görüldüğü zaman YES seçilerek yapılan işlemler kayıt edilir.
Bunun sonucunda röle normal kompanzasyon işlemine devam edecektr, röle harmonik alarmı verecektir, fakat çalışmasını sürdürecektir.
Sağlıklı şekilde kompanzasyon için, sistemde harmonik mevcut ise, ölçülüp gerekli aksiyonların alınması işletmeler için önemli bir durumdur.",harmonik;kondansatör;kompanzasyon;rg,https://destek.entes.com.tr/spaces/SP/pages/983459/RG3+Serisi+Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6lelerinde+D%C3%BCzensiz+Kademe+Devreye+Al%C4%B1nmas%C4%B1+B%C4%B1rak%C4%B1lmas%C4%B1+Durumunda+Kontrol+Edilmesi+Gereken+Noktalar+Nelerdir
Kompanzasyon Ürün Grubu,RG3,RG3 Serisi Reaktif Güç Kontrol Rölelerinde Fiziksel Bağlantı Nasıl Yapılır?,RG3 Serisi Reaktif Güç Kontrol Rölelerinde Fiziksel Bağlantı,"Üç Faz Gerilim ve Nötr girişleri (L1,L2,L3,N) 2A sigorta ile şebekeye bağlanır. Üç Faz Akım trafosu girişleri (IL1,IL2,IL3) İşletmenin ana girişinde bulunan akım trafolarının sekonder uçları bu terminallere bağlanır. 15 ve 22 numaralı klemensler kumanda fazı girişidir. 16 ile 28 arası klemensler 12 Kademe Kondansatör çıkış klemensleridir. 33 numaralı klemens kumanda fazı girişidir. 34,35 ve 36 numaralar 3 Kademe Şönt reaktör çıkış klemensleridir. (RG3-15CL/CLS Serisi için) RS-485 haberleşme klemensi. Alarm rölesi çıkış klemensi. Normalde açık kontaktır, alarm oluştuğunda kapanır. Jeneratör çalışmada kompanzasyon yaparken , Reaktif Rölenin 2. CosØ de çalışması için bu klemense jeneratör devresinden 110 ile 250 V arasında bir gerilim uygulanır.",rg3;bağlantı,https://destek.entes.com.tr/spaces/SP/pages/983221/RG3+Serisi+Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6lelerinde+Fiziksel+Ba%C4%9Flant%C4%B1+Nas%C4%B1l+Yap%C4%B1l%C4%B1r
Koruma & Kontrol Ürün Grubu,"SSRC-04, SSRC-04P",SSRC Serisi Sıvı Seviye Röleleri 2 Prob ile Kullanılır mı?,SSRC Serisi Sıvı Seviye Röleleri 2 Prob ile Kullanılır mı?,"SSRC-04 ve SSRC-04P model sıvı seviye röleleri 2 prob ile kullanılabilmektedir.
Bağlantısı röle üzerinde bulunan klemenslerden ""U , L"" uçlarına bağlanması gerekmektedir.",ssrc-04p;seviye;ssrc-04;sıvı,https://destek.entes.com.tr/spaces/SP/pages/983473/SSRC+Serisi+S%C4%B1v%C4%B1+Seviye+R%C3%B6leleri+2+Prob+ile+Kullan%C4%B1l%C4%B1r+m%C4%B1
Koruma & Kontrol Ürün Grubu,SSRC-04,SSRC-04 Kararsız Çalışması Hakkında,SSRC-04 Kararsız Çalışması Hakkında,"İki prob bağlantılarında karşılaşılan bir durumdur.
Üç prob bağlantı kullanılması gerekmektedir.
Röleyi iki probla kullanıyorsanız (U ve L) iki prob arasında sıvı teması varsa röle çıkış verir yoksa röle çıkış vermez.
Üç probla kullanırsanız (U-L ve B) üç prob arasında sıvı teması varsa röle çıkış verir .
Sıvı teması U ve L problarından kesilirse röle çıkış vermez.",ssrc-04p;ssrc-04;seviye;sıvı,https://destek.entes.com.tr/spaces/SP/pages/983143/SSRC-04+Karars%C4%B1z+%C3%87al%C4%B1%C5%9Fmas%C4%B1+Hakk%C4%B1nda
Enerji Yönetimi Ürün Grubu,ENTBUS Plus,ENTBUS Plus Auto Update Sorunu Neden Kaynaklanabilir?,Yazılım güncellemesi yapmak istediğimizde sonuç alınamaması veya yeni bir güncelleme olduğu halde programın güncel olduğunu göstermesi,Sorun bilgisayarın ağ bağlantı seçenekleri Proxy ayarlarından veya internet çıkışı olmadığından kaynaklanmaktadır. Gerekli kontrol ve ayarların yapılması gerekir.,entbusplus;autoupdate;entbus;proxy;güncelleştirme,https://destek.entes.com.tr/spaces/SP/pages/983171/ENTBUS+Plus+Auto+Update+Sorunu+Neden+Kaynaklanabilir
Enerji Yönetimi Ürün Grubu,ENTBUS Pro,ENTBUS Pro Rapor Sayfası Sorunu ve Çözümü,Google Chrome tarayısıcında ENTBUS Pro raporlar sayfası ekrana gelmiyor.  Silverlight yüklemesini gösteren mesaj geliyor. Ne Yapılmalıdır?,"Bu sorun Google Chrome NPAPI (Platformlar arası eklenti mimarisi) destek vermemesinden kaynaklanmaktadır. ENTBUS Pro web sayfasını “İnternet Explorer” tarayıcısını kullanarak açarsanız önceden yüklü ""Silverlight"" eklentisi olmasından dolayı raporlar sayfasına erişim sağlanabilir.  Silverlight yüklemesi gerekirse indirip sayfayı yenilemeniz yine sorunu çözecektir.",entbuspro;google;silverlight;rapor;chrome;entbus,https://destek.entes.com.tr/spaces/SP/pages/983160/ENTBUS+Pro+Rapor+Sayfas%C4%B1+Sorunu+ve+%C3%87%C3%B6z%C3%BCm%C3%BC
Kompanzasyon Ürün Grubu,RGA RGP RGI RG3 RGSR,ENTES Reaktif Güç Kontrol Rölesi ile Elektrik Sayacındaki Oranların Farklı Olması Durumu ile Neden Karşılaşılabilir?,"Sayaçların A.G. de olduğu sistemdeki Reaktif güç kontrol rölesinde cosQ ler 1.000 ve Kompanzasyon oranları İndüktif % 5, Kapasitif %5 olduğu halde Elektrik sayacında İndüktif %23 Kapasitif %0 şeklinde görülüyor.
Bu neden olabilir?","Bu durum akım trafolarının yüklerin hepsini kapsamadığı durumlarda oluşur.
Bir kısım indüktif yüklerin akım trafosundan önce alınmış olması bu şekilde bir farkın ortaya çıkmasına neden olabilir.",kompanzasyon;kapasitif;rg;sayaç;indüktif;yük;ct,https://destek.entes.com.tr/spaces/SP/pages/983227/ENTES+Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6lesi+ile+Elektrik+Sayac%C4%B1ndaki+Oranlar%C4%B1n+Farkl%C4%B1+Olmas%C4%B1+Durumu+ile+Neden+Kar%C5%9F%C4%B1la%C5%9F%C4%B1labilir
Enerji Yönetimi Ürün Grubu,"Entbus Plus, Entbus Pro","ENTBUS' da ""Server Objeleri Yaratılırken Bir Sorunla Karşılaşıldı"" Uyarısı ile Karşılaşıldığında Ne Yapılmalıdır?","VTS Log dosyasında ""Server objeleri yaratılırken bir sorunla karşılaşıldı"" şeklinde bir yazı var.","Sistemin konfigürasyon dosyalarını oluşturduğuna emin olalım. C:\EntBus klasörü altında ""HwCfg.xml"" , ""Model.xml"" ve ""Tariff.xml"" dosyaları bulunmalıdır. Mevcut değil ise mevcut windows oturumundaki kullanıcı şifre ve yetki bilgileri kontrol edilerek kurulum yenilenmelidir.",entbus;configuration;entbuspro;entbusplus;konfigürasyon,https://destek.entes.com.tr/spaces/SP/pages/983234/ENTBUS+da+Server+Objeleri+Yarat%C4%B1l%C4%B1rken+Bir+Sorunla+Kar%C5%9F%C4%B1la%C5%9F%C4%B1ld%C4%B1+Uyar%C4%B1s%C4%B1+ile+Kar%C5%9F%C4%B1la%C5%9F%C4%B1ld%C4%B1%C4%9F%C4%B1nda+Ne+Yap%C4%B1lmal%C4%B1d%C4%B1r
Enerji Yönetimi Ürün Grubu,ENTBUS Plus,ENTBUS Plus Kurulumunda SQL Kullanıcı Adı ve Şifresinin İstenmesi Durumunda Ne Yapılmalıdır?,ENTBUS Plus kurulumunda SQL kullanıcı adı ve şifresinin istenmesi.,"Bilgisayarın mevcut yapılandırması gözetilerek kurulum sonlandırılıp yeniden başlatılması yeterli olacaktır.
Konu ile alakalı olarak ekran görüntüsü ve firma bilgileriniz ile teknikdestek@entes.com.tr adresine mail ile göndererek destek alabilirsiniz.",entbus;entbus+;kurulum;entbusplus;sql,https://destek.entes.com.tr/spaces/SP/pages/983251/ENTBUS+Plus+Kurulumunda+SQL+Kullan%C4%B1c%C4%B1+Ad%C4%B1+ve+%C5%9Eifresinin+%C4%B0stenmesi+Durumunda+Ne+Yap%C4%B1lmal%C4%B1d%C4%B1r
Enerji Yönetimi Ürün Grubu,ENTBUS Pro,ENTBUS Pro' da Alarmların Mail Olarak Gelmemesi Durumunda Ne Yapılmalıdır?,Oluşturduğum alarmlar mailime gelmiyor.,"Alarm tanımlanırken e-mail alanına adres bilgisi girilmiş olmalıdır.
Sonrasında ""Alarmlar"" sayfasında oluşturulan yeni alarmlara ""Seçenekler / Alarm Aboneliklerim"" seçeneğinden üyelik aşamasında e-mail tipi seçilmelidir.",entbus;alarm;entbuspro,https://destek.entes.com.tr/spaces/SP/pages/983255/ENTBUS+Pro+da+Alarmlar%C4%B1n+Mail+Olarak+Gelmemesi+Durumunda+Ne+Yap%C4%B1lmal%C4%B1d%C4%B1r
Enerji Yönetimi Ürün Grubu,ENTBUS Plus,ENTBUS Plus VTS Modulü Kurulamaması Durumunda Ne Yapılmalıdır?,ENTBUS Plus VTS Modulü Kurulamaması Durumunda Ne Yapılmalıdır?,"Kurulum dosyasının güncel versiyon olup olmadığı kontrol edilir veya kurulum dosyalarının içerisindeki Files/Setup.cfg dosyası üzerinde iken mouse sağ tuşu kullanılarak ""notepad ile düzenle"" ye tıklanır.
Daha sonra <key name=""deviceErrorPassCount"" value=""5"" allowChange=""Yes""></key> ifadesi konfigürasyon dosyasına eklenir ve kaydedilir.",vts;konfigürasyon;entbusplus;entbus;configuration,https://destek.entes.com.tr/spaces/SP/pages/983294/ENTBUS+Plus+VTS+Modul%C3%BC+Kurulamamas%C4%B1+Durumunda+Ne+Yap%C4%B1lmal%C4%B1d%C4%B1r
Enerji Yönetimi Ürün Grubu,Enerji Doktoru,Enerji Doktoru Tüketim Özeti Grafiğinde Boşluklar Olmasının Nedeni Nedir?,Enerji Doktoru - Tüketim özeti grafiğinde boşluklar olmasının nedeni nedir?,"Enerji Doktoru v3.0.0 itibariyle anlık izleme yöntemiyle cihazlardan periyodik aralıklarla veri toplamaktadır. Fiziksel sorunlar, haberleşme kalitesi ve diğer çeşitli nedenlerden dolayı zaman zaman veriler okunamazsa grafiklerde boşluklar oluşabilmektedir. Anlık okumanın kalitesini yükseltmek için:
Modemlerin ve cihazların sürekli açık kaldığından emin olunuz. Fiziksel enerji kesintileri sırasında donanımlar kapanacağı için Enerji Doktoru bu zaman zarfındaki verileri okuyamaz. Modemlerin haberleşme kalitelerinin yüksek olduğunu Donanımlarım sayfasından kontrol ediniz. Cihazların modemlerle bağlantı kalitelerinin yüksek olduğunu Donanımlarım sayfasından kontrol ediniz.",veri;boşluk;kayıp;enerjidoktoru;eksik;eksikveri;grafik;tüketimözeti;cihaz;donanım,https://destek.entes.com.tr/spaces/SP/pages/983259/Enerji+Doktoru+T%C3%BCketim+%C3%96zeti+Grafi%C4%9Finde+Bo%C5%9Fluklar+Olmas%C4%B1n%C4%B1n+Nedeni+Nedir
Enerji Yönetimi Ürün Grubu,ENTBUS Pro,ENTBUS Pro Web Arayüzünde Sonsuz Döngü Olması Durumunda Ne Yapılmalıdır?,ENTBUS Pro Web Arayüzünden Sonsuz Döngü Olması Durumunda Ne Yapılmalıdır?,"""IIS Ayarları"" nda, "" Application Pools > Advanced Settings"" den ""Process Model"" alanından ""Identify"" alanını ""Local System"" yaparak sorun çözülmektedir.",pools;application;entbus;entbuspro;iis,https://destek.entes.com.tr/spaces/SP/pages/983319/ENTBUS+Pro+Web+Aray%C3%BCz%C3%BCnde+Sonsuz+D%C3%B6ng%C3%BC+Olmas%C4%B1+Durumunda+Ne+Yap%C4%B1lmal%C4%B1d%C4%B1r
Enerji Yönetimi Ürün Grubu,ENTBUS Pro,ENTBUS Pro'nun Hangi İnternet Tarayıcısında Kullanılması Önerilmektedir?,Entbus Pro Hangi İnternet Tarayıcısında Kullanılması Önerilmektedir?,ENTBUS Pro yazılımını en uygun ve raporların stabil şekilde alınabildiği Internet Explorer tarayıcısı ile kullanabilirsiniz.,entbus;chrome;rapor;tarayıcı;entbuspro;browser;silverlight,https://destek.entes.com.tr/spaces/SP/pages/983384/ENTBUS+Pro+nun+Hangi+%C4%B0nternet+Taray%C4%B1c%C4%B1s%C4%B1nda+Kullan%C4%B1lmas%C4%B1+%C3%96nerilmektedir
Enerji Yönetimi Ürün Grubu,"ENTBUS Plus, ENTBUS Pro","ENTBUS Pro ""Lisans Süresi Doldu"" Şeklinde Yazı Görülürse Ne Yapılmalıdır?","VTS Log dosyasında ""Lisans Süresi Doldu"" şeklinde bir yazı var, ne yapılmalıdır?",Sisteme tanımlı lisans süreniz dolmuştur. ENTES Satış temsilcinize veya teknikdestek@entes.com.tr adresine konu ile alakalı talepte bulunabilirsiniz.,entbus;licence;entbuspro;entbusplus;lisans,https://destek.entes.com.tr/spaces/SP/pages/983403/ENTBUS+Pro+Lisans+S%C3%BCresi+Doldu+%C5%9Eeklinde+Yaz%C4%B1+G%C3%B6r%C3%BCl%C3%BCrse+Ne+Yap%C4%B1lmal%C4%B1d%C4%B1r
Enerji Yönetimi Ürün Grubu,"ENTBUS Plus, ENTBUS Pro","ENTBUS' da ""VTS Tanımlı Değil"" veya ""Yetersiz VTS Lisansı"" Uyarısı ile Karşılaşıldığında Ne Yapılmalıdır?kında","VTS Log dosyasında ""VTS Tanımlı Değil veya Yetersiz VTS Lisansı"" şeklinde bir yazı var, ne anlama gelmektedir?","EntBus kullanıcı arabirimi üzerinden VTS'yi tanımladığınıza ve VTS'nin app.config dosyasında VTSID kısmına uygun ID'yi yazdığınıza emin olun.
Aynı zamanda lisansınızın geçerli ve yeterli sayıda VTS çalıştırmaya izin veriyor olması gerekir. Lisans kontrolü veya teknik destek için teknikdestek@entes.com.tr adresine talepte bulunabilirsiniz.",vts;entbus;lisans;entbuspro;entbusplus,https://destek.entes.com.tr/spaces/SP/pages/983405/ENTBUS+da+VTS+Tan%C4%B1ml%C4%B1+De%C4%9Fil+veya+Yetersiz+VTS+Lisans%C4%B1+Uyar%C4%B1s%C4%B1+ile+Kar%C5%9F%C4%B1la%C5%9F%C4%B1ld%C4%B1%C4%9F%C4%B1nda+Ne+Yap%C4%B1lmal%C4%B1d%C4%B1r+k%C4%B1nda
Kompanzasyon Ürün Grubu,RGSR Serisi,RGSR Serisi Reaktif Güç Kontrol Rölelerinde Sürücü ve Şönt Reaktör Problemi ile Karşılaşıldığında Hangi Kontroller Yapılmalıdır?,RGSR Serisi Reaktif Güç Kontrol Rölelerinde  Sürücü ve Reaktör Problemi ile karşılaşılması,"RGSR Reaktif Güç Kontrol Rölesinin bağlantıları hatalı olabilir.
Özellikle gerilim ölçüm klemensinde bulunan NÖTR bağlantısının yanlış yere yapıldığı ile karşılaşılabilmektedir. ""N"" yazılı klemense bağlanması gerekirken ""V4"" klemensine bağlantısı yapıldığı durumlarda RGSR Reaktif Güç Kontrol Rölesi hatalı bağlantı sebebiyle yanlış ölçüm yapmaktadır.
Bu hatalı bağlantı sürücünün dengesiz çalışmasına ve şönt reaktörlerin aşırı ısınmasına sebep olacaktır.
Bağlantılar düzeltildiği takdirde sistem stabil şekilde çalışacaktır.",rölesi;kontrol;reaktif;güç;rgsr;şönt;sürücü,https://destek.entes.com.tr/spaces/SP/pages/983434/RGSR+Serisi+Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6lelerinde+S%C3%BCr%C3%BCc%C3%BC+ve+%C5%9E%C3%B6nt+Reakt%C3%B6r+Problemi+ile+Kar%C5%9F%C4%B1la%C5%9F%C4%B1ld%C4%B1%C4%9F%C4%B1nda+Hangi+Kontroller+Yap%C4%B1lmal%C4%B1d%C4%B1r
Kompanzasyon Ürün Grubu,RG3-12C - RG3-15 - RG3-12E,"RG3 Serisi Reaktif Güç Kontrol Rölelerinde, Auto Setup İşleminin Başarısız Olma Nedeni Ne Olabilir?","RG3 Serisi Reaktif Güç Kontrol Rölelerinde, Auto Setup İşleminin Başarısız Olma Nedeni Ne Olabilir?","RG3 Serisi Reaktif Güç Kontrol Rölelerinde Auto Setup aşamasında 1 kademeyi referans olarak röle kabul etmektedir.
Eğer ki 1. kademede bir problem varsa röle setup aşamasını yapamamaktadır ve diğer kademeleri de röle tanımamaktadır.
Tanıma işlemini etkileyecek durumlar aşağıdaki belirtilen sebeplerden dolayı olabilir kontrolü sağlanması gerekmektedir.
1 Kademe kondansatörü dengesiz değer kaybetmiş olabilir. 1 Kademe kontaktörünün kontaklarından bir veya birkaçı arızalı olabilir. 1 kademe röle çıkışı arızalı olabilir. 1 kademeye monofaze kondansatör bağlanmış olabilir
Olabilecek nedenlere bakıldıktan sonra hatalar varsa düzeltilip tekrardan Auto Setup yaptırmak gerekmektedir.",rg3-15cls;rg3-15cl;rg3-12cs;rg3-serisi;rg3-12e;rg3-15c;rg3-12c,https://destek.entes.com.tr/spaces/SP/pages/983401/RG3+Serisi+Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6lelerinde+Auto+Setup+%C4%B0%C5%9Fleminin+Ba%C5%9Far%C4%B1s%C4%B1z+Olma+Nedeni+Ne+Olabilir
Enerji Verimliliği Ürün Grubu,MPR-47SE,MPR-47SE Ethernetli Enerji Analizöründe Sabit IP Nasıl Tanımlanır?,MPR-47SE Ethernetli Enerji Analizöründe Sabit IP Nasıl Tanımlanır?,"Cihaz menüsünde bulunan ""DHCP"" seçeneği açık ise ""IP tanımlama"" ekranı pasif durumdadır.
Öncelikle DHCP pasife alındıktan sonra bir alt menüden IP ekranına erişim açılacaktır.
IP ekranına erişim sağlandıktan sonra belirlediğiniz IP cihaza tanımlanabilir.",ethernet;mpr-47se,https://destek.entes.com.tr/spaces/SP/pages/983442/MPR-47SE+Ethernetli+Enerji+Analiz%C3%B6r%C3%BCnde+Sabit+IP+Nas%C4%B1l+Tan%C4%B1mlan%C4%B1r
